Email,Appliance_order_num,seasonal_efficiency_ratio,heat_performance_factor
alungren@opentech.com,1,48.3,19.8
alungren@opentech.com,6,31.5,19
amai@warephase.com,2,46.5,27.5
amai@warephase.com,3,41.6,19.6
amaillard@plexzap.com,3,44.6,16.4
amallett@plussunin.com,3,44.9,26.4
amarrier@hatfan.com,1,58.2,26.2
amarrier@hatfan.com,2,55.3,22
amartabano@ron-tech.com,2,38.5,26.8
amartabano@ron-tech.com,3,43.7,19.4
amatuszak@dalttechnology.com,4,44.4,24.4
amaynerich@treequote.com,3,42.9,27.6
amcdoniel@faxquote.com,2,42.9,24.9
amcdoniel@faxquote.com,3,59.1,27.6
ameteer@betatech.com,2,49.2,16
ameteer@betatech.com,3,51.4,21.2
amiceli@funholding.com,2,47,25.2
amiceli@funholding.com,3,49.5,27.3
amirafuentes@finhigh.com,2,36.5,19.8
amirafuentes@newex.com,2,4.9,21.7
amiro@groovestreet.com,1,46.2,23.1
amiro@groovestreet.com,3,57.8,22.7
amonarrez@toughzap.com,1,37.1,22.8
amonarrez@toughzap.com,2,47.6,23
amonarrez@toughzap.com,3,43.6,23.8
amondella@funholding.com,4,42.4,17.1
amondella@funholding.com,6,30.9,21.3
amonterrubio@domzoom.com,1,53.8,25.1
amonterrubio@domzoom.com,3,45.3,19.6
amorocco@rantouch.com,1,52,24.9
amoyd@betatech.com,2,33.7,22.7
amugnolo@j-texon.com,1,36.9,28.9
amyricks@konmatfix.com,1,43.2,19.4
anewville@sunnamplex.com,2,24.2,24.9
anewville@sunnamplex.com,3,41.9,25.3
anewville@warephase.com,3,37.4,21
anicka@zotware.com,1,45.5,20.3
anicka@zotware.com,3,39.7,31.2
anievas@hottechi.com,3,41.4,18.2
aogg@warephase.com,2,42.8,27.9
aoles@blackzim.com,3,62.1,24.2
aonofrio@conecom.com,1,50.9,20.7
aonofrio@conecom.com,3,39.1,24.4
aostolaza@iselectrics.com,1,27.7,15.9
apadilla@iselectrics.com,1,33.1,23
apalaia@cancity.com,3,46.8,17.7
aparlato@doncon.com,1,44.3,21.2
aparvis@groovestreet.com,1,44.8,16.1
apoquette@faxquote.com,1,57.5,21.5
apoquette@faxquote.com,2,40,18.9
apoquette@faxquote.com,7,39.6,20.7
apoquette@goodsilron.com,2,35.8,19.1
apoquette@goodsilron.com,3,37.6,29
apoquette@goodsilron.com,6,64.2,26.7
apugh@lexiqvolax.com,3,37.8,20.3
aradde@scottech.com,1,46.8,17
arantanen@golddex.com,2,64.9,25.8
arantanen@singletechno.com,1,40.3,26.5
arantanen@singletechno.com,3,35.7,17.7
arauser@fasehatice.com,6,55.9,19.7
araymo@funholding.com,2,28.2,28.2
araymo@statholdings.com,1,41.9,22.4
aregusters@lexiqvolax.com,1,49.4,16
areiber@scottech.com,1,51,25.5
areiber@scottech.com,4,48.8,24.3
areiber@scottech.com,6,55.2,24.1
areiber@scottech.com,7,42,24.4
areiber@scottech.com,8,40.3,25.6
arhoden@zathunicon.com,1,52.5,18.4
arhoden@zathunicon.com,2,31.4,12.9
arochin@toughzap.com,3,34,27.6
arodefer@sumace.com,2,40.3,32.7
arodefer@sumace.com,5,40,12.2
arodefer@sumace.com,6,28.9,27.8
arowling@stanredtax.com,2,42.6,17.7
arulapaugh@zoomit.com,2,45.6,18.4
arulapaugh@zoomit.com,3,43.5,19.1
arulapaugh@zoomit.com,4,39.3,18.4
aryser@groovestreet.com,1,51.2,22.1
asama@zoomit.com,2,38.3,28.4
asama@zoomit.com,4,37.1,17.2
asaras@green-plus.com,3,32.2,23.1
asaras@green-plus.com,5,25.8,23.4
asaulter@codehow.com,1,38.6,17.3
asawchuk@hottechi.com,2,50.4,19.8
asaylors@golddex.com,1,48,23.6
asaylors@golddex.com,2,45.2,19.4
ascheyer@ontomedia.com,1,43.2,22.6
ascheyer@ontomedia.com,4,32.3,18.2
ascheyer@ron-tech.com,4,32.2,16.3
ascheyer@ron-tech.com,6,42.9,22.4
aschieler@ron-tech.com,1,38.5,25.1
aschieler@ron-tech.com,3,24.6,19.4
aschieler@ron-tech.com,4,19.6,25.2
aschieler@ron-tech.com,7,63.3,24.9
aschmaltz@scotfind.com,1,57.5,24.5
aschnitzler@fasehatice.com,3,39.9,27.5
aschoeneck@finjob.com,3,39.4,23.2
aseewald@conecom.com,4,44.3,24.8
aseewald@doncon.com,3,27.9,17.5
asergi@labdrill.com,1,37.5,17.1
asergi@labdrill.com,3,43.9,27.8
asergi@stanredtax.com,5,28,19.4
asilvestrini@sunnamplex.com,1,40.3,21
asilvestrini@sunnamplex.com,4,41.5,22.9
asilvestrini@sunnamplex.com,5,58.2,24.2
askulski@blackzim.com,2,53.2,22.9
askulski@blackzim.com,3,45.2,15.4
askulski@blackzim.com,4,52,23.5
askulski@ontomedia.com,1,55.4,15.6
askursky@j-texon.com,2,56.1,21.4
aspickerman@year-job.com,1,31.3,22.7
aspickerman@year-job.com,2,43.9,22.8
aspickerman@year-job.com,3,47.4,22.5
aspickerman@year-job.com,4,43,16.3
astaback@kinnamplus.com,4,38.4,26.3
astenseth@plusstrip.com,2,31,25.3
astenseth@plusstrip.com,4,38.4,23.8
astenseth@plusstrip.com,5,46.7,24.6
astenseth@plusstrip.com,6,40.2,19.1
astenseth@stanredtax.com,1,29.7,17.9
astenseth@stanredtax.com,2,47.1,16.3
astimmel@bioholding.com,3,26.3,23.3
astoltzman@zotware.com,2,31.9,21.6
astoltzman@zotware.com,3,40.2,20.9
astoltzman@zotware.com,8,47.6,15.4
astoltzman@zotware.com,9,49.3,24.9
asweigard@fasehatice.com,4,60.3,22.7
ategarden@treequote.com,1,42.5,19.7
ategarden@treequote.com,3,21.6,30
atheodorov@fasehatice.com,3,73.9,23.9
atheodorov@fasehatice.com,4,41.6,16.4
atreston@condax.com,3,46.9,22.9
atromblay@xx-holding.com,1,43.2,20.7
aturinetti@scotfind.com,2,46.9,19.9
aturinetti@scotfind.com,3,44.9,19.7
aturinetti@scotfind.com,5,60.8,22.8
aupthegrove@hatfan.com,6,32.4,23.7
avanausdal@streethex.com,2,55.4,27.1
avanausdal@streethex.com,3,49,29.6
avanheusen@finjob.com,3,53.1,25.5
avanheusen@finjob.com,5,41.3,23
avanheusen@finjob.com,6,42.8,25.7
avanheusen@finjob.com,7,51.7,19.2
avenere@fasehatice.com,3,55.6,21.2
awaycott@ganjaflex.com,1,44.6,22.4
awaycott@ganjaflex.com,2,37.4,26.3
awaycott@ganjaflex.com,3,21,25.8
awaycott@ganjaflex.com,4,54.9,22.8
aweight@cancity.com,2,44.9,20.3
aweight@cancity.com,4,30.3,25.9
awenner@bioplex.com,3,42.9,23.2
awhobrey@zathunicon.com,3,45.3,26
awiklund@gogozoom.com,1,42.8,20.2
awiklund@gogozoom.com,3,34.5,20.8
awiklund@gogozoom.com,6,34.1,23.5
aworlds@ganjaflex.com,2,47.4,22.1
aworlds@plussunin.com,3,59.9,16.7
aworlds@plussunin.com,5,46.1,20.1
aworlds@plussunin.com,7,45.8,24.3
aworlds@plussunin.com,8,50.8,33.9
aworlds@plussunin.com,10,55.1,22.9
aworlds@stanredtax.com,1,47.3,23.8
awrinkles@statholdings.com,1,46.7,22.1
azagen@plussunin.com,2,34,21.5
azane@zencorporation.com,2,28,16.5
azurcher@codehow.com,2,55.6,26.8
bagramonte@zumgoity.com,1,34.9,22.9
bagramonte@zumgoity.com,2,34.6,17.6
bahle@golddex.com,2,46.3,23.4
bahle@golddex.com,6,38.1,26.6
bahle@stanredtax.com,2,34.2,19.1
bahle@stanredtax.com,3,41.1,19.2
bahle@stanredtax.com,4,36.6,28.5
balbares@hatfan.com,3,36.7,23.5
barias@silis.com,2,32.4,29.8
basar@fasehatice.com,2,41.9,20
bbachman@y-corporation.com,1,53.7,23.4
bbayless@konex.com,2,51.5,28.1
bbeech@scottech.com,1,41.1,20.2
bbeech@scottech.com,2,25.3,20.2
bberganza@streethex.com,1,28.9,21.2
bberganza@streethex.com,2,38.2,21.7
bbergesen@groovestreet.com,1,65.6,20.9
bbergesen@groovestreet.com,2,53.7,20.6
bbergesen@groovestreet.com,3,37.8,21
bblackwood@rangreen.com,2,51.9,15.8
bblackwood@rangreen.com,3,61.6,23.2
bblackwood@rangreen.com,4,41.9,26.2
bblackwood@rangreen.com,9,41.5,19.2
bbowley@hatfan.com,1,43,28.8
bbowley@hatfan.com,3,40.7,25.6
bbreland@plusstrip.com,1,51.2,20.5
bbreland@plusstrip.com,2,31.3,25.8
bbreland@plusstrip.com,3,32.6,31.9
bbreland@plusstrip.com,4,36.8,12.1
bbrossart@konex.com,2,53.9,22.9
bbrossart@konex.com,5,15.7,16.4
bbruschke@cancity.com,2,31.2,15.8
bbubash@cancity.com,1,36.6,16.6
bbutt@bioholding.com,2,44.3,25.9
bcalvaresi@codehow.com,1,38.9,25.8
bcantres@donware.com,1,25,21.6
bcentini@hottechi.com,1,61.4,20.4
bcentini@hottechi.com,5,49.9,22.8
bcentini@hottechi.com,6,16.2,24.2
bcentini@hottechi.com,7,56.2,18.7
bcetta@singletechno.com,1,41.9,21.9
bcetta@singletechno.com,2,37.5,20.8
bcetta@singletechno.com,3,54.9,23.2
bchavous@kinnamplus.com,1,52.7,24.9
bchavous@statholdings.com,4,44.2,26.2
bcolla@golddex.com,2,50.5,19.2
bcolla@golddex.com,3,30.8,21
bcolla@mathtouch.com,2,51.5,23.4
bcolla@mathtouch.com,3,44.7,21.3
bcolla@mathtouch.com,4,45.2,26.9
bcorrio@sunnamplex.com,2,54.3,21.5
bcorrio@sunnamplex.com,4,35.5,22.9
bcousey@nam-zim.com,1,41,27.5
bcousey@nam-zim.com,6,33.6,20.2
bcousey@statholdings.com,2,46.9,21.3
bcousey@treequote.com,1,41.6,28.9
bcousey@treequote.com,2,25.5,24.8
bcoyier@labdrill.com,1,41.3,24.8
bcoyier@labdrill.com,2,51.1,26.4
bcoyier@labdrill.com,3,21.8,27.7
bdaufeldt@lexiqvolax.com,2,39,25.3
bdaufeldt@lexiqvolax.com,3,32.1,19.3
bdelasancha@warephase.com,1,49.5,25.8
bdevreese@streethex.com,1,40.3,23.8
bdewar@fasehatice.com,3,57.7,22.4
bdhamer@mathtouch.com,1,53.2,23.1
bdhamer@mathtouch.com,2,48.1,24.5
bdubaldi@newex.com,3,44,15.2
bdubaldi@newex.com,6,30.9,26.5
bdubaldi@newex.com,7,46.1,23.5
bdubaldi@newex.com,9,45.3,11.2
beanes@j-texon.com,1,50.2,17.7
beanes@j-texon.com,2,39,21.4
beanes@j-texon.com,3,50.6,26.1
bfallick@funholding.com,2,54.8,19
bfarrow@gogozoom.com,3,37.9,19.7
bfelger@silis.com,2,34.9,21.5
bfelger@silis.com,3,62.3,21.1
bfelger@year-job.com,4,27.3,16
bfern@dalttechnology.com,1,37.1,23
bfishburne@donware.com,3,63,31.3
bfortino@green-plus.com,1,50.6,23.2
bfrancescon@toughzap.com,3,44.8,21.4
bfrancescon@yearin.com,1,45,22.8
bfrankel@sunnamplex.com,2,52.6,19.5
bfrankel@sunnamplex.com,4,47.7,27.8
bfrankel@sunnamplex.com,5,45.8,25.6
bgiguere@bioholding.com,2,57.3,20.6
bgillaspie@dambase.com,1,54.6,23.7
bgillaspie@dambase.com,3,51.5,25.3
bgochal@scotfind.com,1,21.5,16.5
bgochal@scotfind.com,2,35,24.7
bgochal@scotfind.com,5,55.2,18.4
bgochal@scotfind.com,6,39.8,26.1
bgochal@scotfind.com,10,45.2,27.7
bgochal@scotfind.com,13,54,19.8
bgood@green-plus.com,1,39.2,18.4
bgood@green-plus.com,2,44.7,29.8
bgreenbush@cancity.com,3,41.2,23.9
bhagele@funholding.com,1,37.3,26.8
bhalter@rangreen.com,3,36,16.6
bhalter@rundofase.com,1,56.1,25.5
bharabedian@donquadtech.com,1,38,15.7
bharabedian@donquadtech.com,4,51.4,19.1
bheimann@zencorporation.com,2,44.2,21.2
bhiatt@ganjaflex.com,1,57.3,18.6
bhiatt@ganjaflex.com,2,38.3,22.6
bhiatt@ganjaflex.com,3,37.9,22.3
bhiatt@ganjaflex.com,4,46.7,24.2
bhirpara@openlane.com,1,44,22.3
bhoneywell@gogozoom.com,1,31.8,22.7
bhoogland@finjob.com,3,48.6,22.7
bhoogland@plussunin.com,1,46.5,23.1
bjuhas@hottechi.com,2,40.4,18.5
bjuhas@hottechi.com,3,43.8,20.7
bkalafatis@kinnamplus.com,3,49.1,21.6
bkampa@betatech.com,1,56,22.8
bkampa@betatech.com,2,45.9,23.5
bkampa@betatech.com,3,55,27.6
bkampa@labdrill.com,1,33.5,20.4
bkampa@labdrill.com,3,35.7,17.5
bkeener@donware.com,2,66.8,21.7
bkeener@donware.com,3,40.5,24.3
bkeener@j-texon.com,3,43.1,22.2
bkiel@stanredtax.com,1,35.7,17.4
bkiel@stanredtax.com,2,39.7,23.4
bkiel@stanredtax.com,3,47.3,30.5
bkippley@cancity.com,3,49.9,22.2
bkippley@groovestreet.com,2,33.9,25.7
bkoppinger@rangreen.com,1,52.2,15.2
bkownacki@zencorporation.com,3,33.1,18.2
blawler@plusstrip.com,1,31.8,27.2
bleinenbach@dontechi.com,1,38,25.4
blinahan@mathtouch.com,1,25.1,24.4
blinahan@mathtouch.com,2,66.9,25.8
blinahan@mathtouch.com,3,40.2,23.9
blipke@donware.com,2,40.7,26.7
blipke@rundofase.com,3,45.3,21.1
blipkin@donware.com,2,62.7,19
blipkin@donware.com,3,40,18.3
blizama@zathunicon.com,1,48,26.4
blizama@zathunicon.com,2,38.7,18.9
blizama@zathunicon.com,3,35.7,19.7
blother@j-texon.com,2,45.6,11.3
blother@j-texon.com,3,51.9,24.4
blouissant@blackzim.com,1,39,19.6
bluczki@domzoom.com,1,37.5,27.9
blueckenbach@finhigh.com,1,38,19.5
blueckenbach@finhigh.com,2,59,23.9
blueckenbach@treequote.com,2,48.7,21.1
blueckenbach@treequote.com,3,38.5,26.6
blungren@zotware.com,3,60.5,18.8
bmaclead@streethex.com,3,38,22.7
bmaclead@streethex.com,6,43.3,13.7
bmadarang@isdom.com,3,41.2,24.1
bmadarang@konmatfix.com,2,55.2,17.5
bmaynerich@faxquote.com,1,36.9,13
bmcnease@cancity.com,2,46.9,23.8
bmcnease@cancity.com,6,43.3,21.3
bmirafuentes@plexzap.com,3,54.1,28.5
bmulqueen@dalttechnology.com,4,30.9,19.5
bmunns@newex.com,3,51.9,23.2
bmyricks@green-plus.com,2,45.5,24.6
bmyricks@green-plus.com,3,38.1,24.5
bnestle@xx-holding.com,1,41.2,19.6
bnievas@iselectrics.com,2,41.8,20.3
bnievas@ontomedia.com,1,49.9,24.2
bnievas@ontomedia.com,2,72.7,17.3
bostrosky@codehow.com,1,32.7,26.1
bostrosky@codehow.com,2,30.9,23.3
bostrosky@codehow.com,4,38.5,26.3
bpadilla@zathunicon.com,2,37.9,25.1
bpagliuca@bioplex.com,2,33.3,15.5
bplumer@labdrill.com,1,43.3,19.7
bpugh@opentech.com,1,29.1,23.1
bpugh@opentech.com,6,55.6,21.4
bregusters@domzoom.com,1,39.7,27.5
bregusters@domzoom.com,2,40,29.7
bregusters@domzoom.com,3,21.9,21.2
brhymes@funholding.com,1,63.9,26.6
brhymes@funholding.com,2,45.6,18
bsamara@konmatfix.com,1,47.3,20.6
bsamara@konmatfix.com,3,43.6,21.1
bsaras@golddex.com,2,49.8,19.6
bsaras@golddex.com,4,49.2,19.4
bsarbacher@newex.com,1,35.6,24.8
bsayaphon@sunnamplex.com,2,41.6,22.7
bsayaphon@sunnamplex.com,4,30.4,19.4
bschirpke@donquadtech.com,3,58.5,20.1
bschirpke@goodsilron.com,1,26.7,16.4
bsergi@dontechi.com,2,48.3,23.2
bshadrick@lexiqvolax.com,1,44.3,21.7
bshields@yearin.com,1,30.1,25.6
bshields@yearin.com,2,50.3,19.7
bsimilton@opentech.com,7,42.9,23.9
bskulski@kinnamplus.com,4,50.3,23
bspringe@betatech.com,1,32.8,30.1
bspringe@betatech.com,2,42.9,19
bspringe@betatech.com,3,34,22.6
bsteffensmeier@y-corporation.com,2,37.1,21.8
bsteffensmeier@y-corporation.com,3,47.7,23.1
bstoltzman@green-plus.com,4,55.8,25.7
bstoltzman@green-plus.com,6,39.6,21.3
bstoltzman@plusstrip.com,1,48.9,24.8
bstoltzman@plusstrip.com,3,37.9,25.2
bsuell@inity.com,2,25.8,22.8
bsuell@inity.com,3,43.5,17.6
bsuell@plexzap.com,1,43.9,28.9
bsweigard@nam-zim.com,1,47.2,21.2
bsweigard@nam-zim.com,2,50.4,20.6
bsweigard@nam-zim.com,3,41,18.9
bsweigard@nam-zim.com,4,34.7,23.6
bsyrop@domzoom.com,1,42.6,28.2
bsyrop@domzoom.com,2,43.8,25.2
btollner@streethex.com,4,36,20
btomasulo@green-plus.com,1,34,18.1
btomasulo@green-plus.com,2,34.7,19
btomasulo@green-plus.com,4,42.1,27.2
btomasulo@green-plus.com,6,43.3,17.3
btromblay@funholding.com,2,22.4,31.2
bturinetti@zathunicon.com,3,68.8,18.2
bturinetti@zathunicon.com,4,32.5,13
bturinetti@zathunicon.com,5,48.9,25.6
bupthegrove@blackzim.com,1,25.1,15.7
bvillanueva@funholding.com,1,51.4,25.8
bvillanueva@funholding.com,2,38.1,18.9
bwardrip@fasehatice.com,1,45.5,20.4
bwardrip@fasehatice.com,2,38.6,23.8
bwardrip@fasehatice.com,3,28.8,19.6
bweirather@ganjaflex.com,1,37,26.5
bwenzinger@ontomedia.com,1,46.1,23.7
bwenzinger@ontomedia.com,4,34.6,19
bwieser@nam-zim.com,2,49.5,21.7
bwieser@nam-zim.com,3,55.2,21.6
bwieser@nam-zim.com,4,42.7,21.8
bwildfong@xx-zobam.com,1,34.9,18.4
bwildfong@xx-zobam.com,5,60.8,21.9
byum@finhigh.com,1,60.4,28.7
byum@finhigh.com,2,40.2,20.2
byum@finhigh.com,3,36,25.2
cacey@sonron.com,3,34.3,20
cacuff@codehow.com,1,34.4,22.5
cacuff@codehow.com,2,65,14.8
cacuff@codehow.com,3,47.5,23.9
cacuff@codehow.com,4,62.7,20.8
cacuff@fasehatice.com,1,30.7,22.9
cahle@fasehatice.com,1,60,23.5
cahle@fasehatice.com,2,42.9,23.9
cahle@newex.com,1,27.9,29.9
calbares@rantouch.com,3,30,24
calbares@zencorporation.com,4,49.9,21.6
camigon@plexzap.com,3,36.2,20.9
camyot@finhigh.com,1,38.1,17
candreason@streethex.com,1,36.9,20.9
cangalich@codehow.com,4,43.7,14
cangalich@codehow.com,5,45.6,17.9
cangalich@codehow.com,6,35.2,24.9
cangalich@xx-zobam.com,3,52.7,9.9
carceo@bioplex.com,3,50,19.6
cauffrey@fasehatice.com,1,40.7,20.1
cauffrey@hottechi.com,2,61.8,28.1
cbarfield@fasehatice.com,1,47.1,22.4
cbarfield@fasehatice.com,3,39.4,24.7
cbarfield@iselectrics.com,2,50.7,24
cbatman@green-plus.com,1,45.9,17.9
cbayless@silis.com,1,51.9,20.8
cbennick@blackzim.com,1,31.2,36.5
