Email,Square_footage,Home_type,Cool_setting,Heat_setting,Zip_code
acoyier@y-corporation.com,2769,house,75,,52052
acronauer@golddex.com,1429,apartment,73,67,97350
adallen@finjob.com,2244,apartment,74,64,23181
adarakjy@plusstrip.com,1654,house,75,69,84029
adaufeldt@singletechno.com,936,condominium,75,,7650
adegonia@bioholding.com,3435,house,74,76,36558
adegonia@zathunicon.com,166,apartment,,70,19457
adegroot@isdom.com,897,house,71,74,21856
adelasancha@faxquote.com,1031,apartment,70,71,84766
ademesa@bioholding.com,1047,condominium,,,76210
ademesa@zoomit.com,701,condominium,72,,67639
adenooyer@finhigh.com,451,apartment,68,,45208
adhamer@xx-holding.com,915,apartment,75,70,4354
adickerson@blackzim.com,701,apartment,,76,11566
adickerson@plussunin.com,424,apartment,,69,76258
adinos@rundofase.com,1289,townhome,74,74,68854
adiscipio@ganjaflex.com,53,condominium,74,72,4321
adiscipio@iselectrics.com,1098,townhome,71,70,30357
adiscipio@warephase.com,161,condominium,70,69,62447
adopico@scottech.com,2378,house,,76,49258
aeanes@fasehatice.com,901,apartment,,76,68108
aeanes@scottech.com,585,house,,69,98336
aehmann@mathtouch.com,2230,house,73,71,62999
aengelberg@dontechi.com,1104,house,72,,52248
aengelberg@scottech.com,739,house,,71,71720
aeschberger@yearin.com,737,house,69,74,92507
aestell@ganjaflex.com,778,apartment,,68,98102
aestell@zathunicon.com,927,townhome,,67,40009
afallick@kinnamplus.com,1174,townhome,,70,72179
afarrar@donquadtech.com,3670,house,,73,18248
afarrar@green-plus.com,1117,townhome,73,,29373
afarrar@kan-code.com,2035,house,71,73,73756
afarrow@isdom.com,431,apartment,70,75,36015
afarrow@streethex.com,943,apartment,,76,84627
afeichtner@konex.com,1668,townhome,,75,48236
afelger@betatech.com,937,townhome,,75,48725
afelger@doncon.com,904,apartment,76,66,72631
afigeroa@dalttechnology.com,1143,townhome,72,69,23190
aflister@sonron.com,799,house,75,75,59639
afoller@gogozoom.com,712,condominium,,68,80524
afoller@year-job.com,566,house,,72,46947
afortino@openlane.com,940,apartment,72,70,63822
afrey@treequote.com,612,house,72,70,24565
afritz@funholding.com,595,townhome,,69,15626
agabisi@dalttechnology.com,1233,apartment,71,72,4539
agabisi@ganjaflex.com,390,apartment,70,66,38039
agato@hatfan.com,4790,house,,77,57334
agato@ontomedia.com,2012,apartment,,74,57717
agehrett@scotfind.com,687,townhome,70,73,14129
agellinger@condax.com,1367,apartment,73,66,71259
agellinger@finhigh.com,1017,mobile home,,76,50470
agesick@rantouch.com,1012,apartment,,76,41522
agiguere@plusstrip.com,111,house,70,74,4471
agillaspie@finhigh.com,584,mobile home,71,77,34112
agillian@ron-tech.com,1001,apartment,,,59106
agleich@doncon.com,349,mobile home,69,78,55438
agleich@finjob.com,1334,house,74,,38643
aglick@treequote.com,2147,apartment,73,,46582
agobern@ontomedia.com,1577,condominium,71,,23514
agochal@blackzim.com,259,mobile home,74,69,81045
agochal@toughzap.com,928,apartment,,67,21866
agood@xx-zobam.com,128,house,,69,79960
agotter@isdom.com,2637,house,74,72,90280
agotter@statholdings.com,576,townhome,,,92843
agrenet@yearin.com,206,mobile home,76,71,22902
agudroe@sunnamplex.com,69,house,72,77,27592
ahagele@dontechi.com,675,house,74,71,38333
ahalsey@faxquote.com,791,apartment,70,,55965
ahalsey@plussunin.com,1348,house,72,,1253
ahalter@sunnamplex.com,1604,house,75,72,12874
ahamilton@cancity.com,513,apartment,,75,83302
aharabedian@inity.com,1916,house,,68,30477
aharnos@bioholding.com,1182,townhome,74,74,52309
aharoldson@zumgoity.com,1429,house,72,72,70397
aheintzman@donquadtech.com,851,house,,68,57552
aheintzman@donware.com,897,house,70,76,17931
ahengel@groovestreet.com,635,townhome,74,73,77720
ahochard@hottechi.com,1050,house,72,71,67674
ahochard@j-texon.com,1241,townhome,69,75,32058
ahoffis@kan-code.com,866,house,,73,44510
ahollack@codehow.com,801,house,74,73,61106
ahoogland@zencorporation.com,1806,house,,69,21817
ahoopengardner@iselectrics.com,834,apartment,,,15225
ahoopengardner@kan-code.com,2032,apartment,73,72,31993
ahoopengardner@zotware.com,1224,townhome,,76,87575
ahoopengardner@zumgoity.com,1912,house,72,74,45740
ahusser@toughzap.com,937,apartment,75,73,58103
aisenhower@doncon.com,861,house,,75,27910
aisenhower@warephase.com,799,apartment,72,,88528
ajacobos@gogozoom.com,445,townhome,75,75,14204
ajacobos@kan-code.com,1524,house,71,76,78880
ajayson@newex.com,250,mobile home,73,72,62543
ajeanty@gogozoom.com,745,apartment,,75,61810
ajeanty@zoomit.com,1419,house,75,70,55051
ajillson@rantouch.com,459,townhome,69,73,92385
ajulia@zathunicon.com,849,apartment,71,68,30177
ajurney@silis.com,2017,apartment,72,75,91326
akampa@finhigh.com,66,condominium,73,70,13201
akampa@plusstrip.com,731,house,76,,23879
akaniecki@zathunicon.com,1139,townhome,74,70,74016
akardas@green-plus.com,1123,condominium,,,98628
akardas@singletechno.com,548,house,75,71,28630
akarpin@faxquote.com,3693,house,71,69,48820
akarpin@singletechno.com,3350,house,72,71,30388
akeneipp@bioholding.com,947,apartment,75,,26222
akeneipp@groovestreet.com,457,apartment,,65,44179
aketelsen@ontomedia.com,780,apartment,74,,44822
aketelsen@xx-holding.com,2671,house,73,,93625
akiel@codehow.com,970,apartment,72,74,55785
akiel@scotfind.com,717,house,72,70,13061
akines@labdrill.com,1075,apartment,75,67,19472
akippley@stanredtax.com,797,apartment,73,73,16045
akitty@fasehatice.com,488,condominium,70,,97842
akitty@zathunicon.com,1911,house,72,68,92118
akitzman@sonron.com,323,mobile home,71,75,65779
aklang@newex.com,744,apartment,75,73,7474
aklimek@sonron.com,768,apartment,73,74,85244
aklonowski@donquadtech.com,864,apartment,73,75,83634
akohl@hottechi.com,1905,house,,,99549
akolmetz@kinnamplus.com,154,mobile home,,67,31908
akonopacki@golddex.com,628,house,,75,92191
akoppinger@sunnamplex.com,777,house,70,72,50434
akorando@doncon.com,714,condominium,,71,43523
akorando@finjob.com,1568,townhome,69,74,50120
akorando@goodsilron.com,138,apartment,72,69,26456
akownacki@green-plus.com,906,house,,74,81247
akulzer@scotfind.com,1889,townhome,75,71,30087
alabreche@silis.com,36,apartment,,71,45750
alace@xx-holding.com,1153,house,,,75092
alacovara@hatfan.com,1336,apartment,73,70,44106
alapage@ontomedia.com,1517,house,76,78,84723
alary@toughzap.com,2265,house,,72,54737
alatzke@faxquote.com,1279,apartment,71,,61610
alayous@dontechi.com,574,apartment,,73,40283
alayous@statholdings.com,1022,apartment,,,75663
aleinenbach@green-plus.com,1348,apartment,70,,19116
aleto@warephase.com,222,house,73,72,56561
alietz@j-texon.com,3437,house,,77,20667
alindall@gogozoom.com,385,apartment,68,70,79702
aliukko@hatfan.com,1318,apartment,71,69,69027
aloader@scottech.com,737,house,72,74,50315
aloder@rundofase.com,424,mobile home,74,73,10016
alother@doncon.com,444,mobile home,72,75,12172
aluczki@konmatfix.com,309,mobile home,69,78,73546
alungren@faxquote.com,583,apartment,76,75,44470
alungren@opentech.com,6092,house,,72,16731
amaclead@ron-tech.com,74,condominium,,,98591
amai@warephase.com,1741,townhome,74,77,98801
amaillard@bioholding.com,867,apartment,71,76,94543
amaillard@plexzap.com,873,apartment,,67,41760
amallett@plussunin.com,1323,townhome,,68,96141
amarrier@hatfan.com,1630,house,73,75,11955
amarrier@zoomit.com,721,house,,75,60053
amartabano@ron-tech.com,1995,house,71,67,78116
amatuszak@dalttechnology.com,1700,apartment,71,,27315
amaybury@rundofase.com,1430,townhome,69,73,10161
amaynerich@bioholding.com,52,condominium,72,,15779
amaynerich@treequote.com,1081,townhome,,,60176
amccullan@plexzap.com,1240,house,73,69,17243
amcdoniel@faxquote.com,831,apartment,76,69,14150
amcdoniel@kinnamplus.com,428,apartment,73,76,68226
amconnell@zumgoity.com,495,apartment,74,,90261
amcrae@silis.com,101,townhome,75,71,43216
ameteer@betatech.com,807,condominium,72,,51553
amiceli@funholding.com,1061,condominium,,65,58740
amirafuentes@finhigh.com,2896,condominium,75,71,84513
amirafuentes@newex.com,1805,condominium,72,,30668
amirafuentes@plexzap.com,202,mobile home,71,77,69025
amiro@groovestreet.com,2932,townhome,,72,98575
amodzelewski@yearin.com,1448,house,70,72,95386
amonarrez@funholding.com,736,house,73,67,71953
amonarrez@inity.com,879,apartment,70,73,54559
amonarrez@toughzap.com,1542,apartment,,71,53585
amondella@funholding.com,994,mobile home,,66,25161
amondella@sumace.com,549,house,,72,77336
amondella@zathunicon.com,1540,house,69,73,95385
amonterrubio@domzoom.com,219,mobile home,73,71,38017
amonterrubio@dontechi.com,88,apartment,68,67,76210
amorasca@betatech.com,457,apartment,75,73,26714
amorocco@conecom.com,525,apartment,72,76,22408
amorocco@rantouch.com,773,apartment,71,,33035
amoyd@betatech.com,1351,house,,71,65672
amugnolo@j-texon.com,555,apartment,74,,27626
amulqueen@silis.com,223,mobile home,,68,95032
amyricks@konmatfix.com,1157,house,,,66741
amyricks@sonron.com,1549,house,74,78,20111
anabours@bioholding.com,629,townhome,73,72,8854
anewville@newex.com,799,house,71,72,37857
anewville@sunnamplex.com,1072,house,,72,7092
anewville@warephase.com,1160,house,,73,89018
anicka@zotware.com,659,apartment,76,73,57188
anievas@hottechi.com,1371,townhome,72,73,23702
aogg@warephase.com,1006,house,74,68,72958
aoles@blackzim.com,428,mobile home,75,,46355
aonofrio@conecom.com,435,mobile home,74,,18651
aonofrio@yearin.com,628,house,75,66,24826
aostolaza@iselectrics.com,1074,apartment,73,66,60464
apadilla@iselectrics.com,547,apartment,,72,37143
apagliuca@xx-zobam.com,1342,house,74,68,92051
apalaia@cancity.com,1852,house,,70,37779
apalaia@hatfan.com,729,apartment,71,73,20138
aparlato@doncon.com,1613,townhome,,73,70569
aparlato@groovestreet.com,215,mobile home,72,74,37243
aparvis@blackzim.com,196,apartment,75,64,92283
aparvis@groovestreet.com,821,townhome,74,,32956
apedrozo@silis.com,1409,apartment,,73,93279
apelkowski@warephase.com,372,mobile home,75,78,71452
aperez@sonron.com,901,condominium,70,73,72840
apoquette@faxquote.com,3477,house,69,73,47958
apoquette@goodsilron.com,2288,house,73,77,8057
apugh@lexiqvolax.com,342,mobile home,,73,33776
aradde@plussunin.com,1047,apartment,,76,64109
aradde@scottech.com,572,house,71,76,78041
arantanen@golddex.com,798,apartment,73,,91124
arantanen@singletechno.com,450,mobile home,73,72,49919
arauser@fasehatice.com,2570,townhome,,71,31569
araymo@funholding.com,1380,apartment,73,73,30161
araymo@rundofase.com,890,house,76,67,88268
araymo@statholdings.com,508,apartment,,73,17885
aregusters@lexiqvolax.com,1441,house,,75,57730
areiber@scottech.com,2815,townhome,,77,27542
arestrepo@zumgoity.com,1463,house,74,70,45363
arhoden@zathunicon.com,1583,condominium,76,,3057
arhym@plexzap.com,121,house,,66,21045
ariden@hatfan.com,645,house,73,73,33166
ariopelle@mathtouch.com,1752,house,73,75,68325
arochin@toughzap.com,829,apartment,,71,89434
arodefer@sumace.com,2328,apartment,,71,22454
arodeigues@codehow.com,171,condominium,72,78,10309
arowling@stanredtax.com,810,apartment,73,,8406
arulapaugh@labdrill.com,684,house,71,76,80932
arulapaugh@zoomit.com,2298,house,,72,97394
aryser@groovestreet.com,566,house,71,72,15931
asama@zoomit.com,2188,house,,72,75354
asaras@green-plus.com,1926,apartment,69,75,78294
asaulter@codehow.com,751,house,70,69,794
asawchuk@hottechi.com,423,mobile home,,67,32596
asaylors@golddex.com,821,apartment,73,73,46777
asaylors@rantouch.com,1232,house,73,72,67626
asaylors@sunnamplex.com,1409,apartment,,70,99786
asaylors@zumgoity.com,675,house,,73,47716
ascheyer@ontomedia.com,1869,townhome,72,75,60653
ascheyer@ron-tech.com,2642,townhome,72,69,49665
aschieler@ron-tech.com,2467,house,71,67,18078
aschmaltz@scotfind.com,369,apartment,,71,95563
aschmaltz@zencorporation.com,1459,house,,75,74014
aschnitzler@fasehatice.com,903,apartment,,67,78053
aschoeneck@finjob.com,1323,house,70,76,25988
aschoeneck@scottech.com,977,apartment,71,73,36052
ascriven@hatfan.com,570,mobile home,71,,66830
aseewald@conecom.com,2436,house,70,75,10590
aseewald@doncon.com,1320,house,73,65,76124
asengbusch@fasehatice.com,1878,townhome,70,,47858
asergi@labdrill.com,1039,apartment,71,77,65251
asergi@stanredtax.com,2654,condominium,71,,75169
ashadrick@zumgoity.com,147,mobile home,73,73,38780
ashin@zoomit.com,39,apartment,73,69,34729
asilvestrini@plussunin.com,1330,house,,71,92552
asilvestrini@sunnamplex.com,2060,house,74,68,14812
asimilton@dontechi.com,2172,house,73,,46570
asimilton@plussunin.com,1871,house,,71,20047
askulski@blackzim.com,1652,house,70,67,18932
askulski@ontomedia.com,367,apartment,73,71,19451
askursky@j-texon.com,857,apartment,72,,2661
aslayton@year-job.com,131,apartment,73,70,3864
aslusarski@iselectrics.com,751,apartment,74,72,76233
aspickerman@labdrill.com,693,townhome,73,66,44735
aspickerman@year-job.com,1792,house,70,72,30187
astaback@kinnamplus.com,1590,townhome,69,76,49782
astem@toughzap.com,55,apartment,72,76,35580
astenseth@ontomedia.com,645,mobile home,72,,36371
astenseth@plusstrip.com,1807,condominium,75,,68816
astenseth@stanredtax.com,1124,house,71,66,44690
astimmel@bioholding.com,1545,apartment,74,74,43722
astimmel@ganjaflex.com,144,apartment,68,76,65264
astoltzman@blackzim.com,86,apartment,75,74,67475
astoltzman@domzoom.com,753,condominium,71,66,87499
astoltzman@zotware.com,3772,house,,74,70752
astorment@statholdings.com,805,house,69,67,22645
astrassner@faxquote.com,43,apartment,73,69,21679
asweigard@fasehatice.com,909,apartment,,69,23225
ategarden@treequote.com,2454,house,73,76,28081
atheodorov@fasehatice.com,1922,condominium,,,15936
atoelkes@dontechi.com,987,house,,78,40724
atolfree@plexzap.com,748,house,72,71,82190
atreston@condax.com,1294,house,73,71,82832
atromblay@j-texon.com,815,townhome,76,76,49916
atromblay@xx-holding.com,1393,house,71,,20053
aturinetti@j-texon.com,1028,townhome,71,,78738
aturinetti@scotfind.com,2226,apartment,72,70,57301
aupthegrove@fasehatice.com,704,townhome,,67,21677
aupthegrove@hatfan.com,2658,house,,76,30285
auyetake@sonron.com,529,apartment,76,71,30810
auyetake@toughzap.com,529,apartment,,68,25901
avanausdal@streethex.com,1171,apartment,75,71,80161
avanheusen@cancity.com,95,apartment,74,69,27291
avanheusen@finjob.com,2383,condominium,69,73,50350
avenere@fasehatice.com,1189,townhome,73,75,74423
avizarro@bioholding.com,146,apartment,73,74,22720
avizarro@ganjaflex.com,174,mobile home,,76,42044
awardrip@golddex.com,641,townhome,,73,3803
awaycott@ganjaflex.com,1606,condominium,73,73,74425
aweglarz@warephase.com,459,condominium,76,75,25927
aweight@cancity.com,1293,apartment,75,76,42565
aweirather@funholding.com,788,house,74,75,27361
awenner@bioplex.com,1321,townhome,76,73,98401
awhobrey@zathunicon.com,1391,house,70,,7621
awiklund@gogozoom.com,1502,condominium,,69,1770
awiklund@kan-code.com,414,apartment,71,73,53074
awildfong@faxquote.com,1253,house,74,64,47863
aworlds@ganjaflex.com,1425,house,74,,86544
aworlds@plussunin.com,4834,house,,74,5648
aworlds@stanredtax.com,2654,house,,75,56563
awrinkles@statholdings.com,454,apartment,,67,22663
azagen@plussunin.com,1175,apartment,74,,19310
azane@zencorporation.com,935,apartment,70,,13803
azepp@zencorporation.com,553,house,73,74,12220
azurcher@codehow.com,1955,house,75,,18449
bacey@hottechi.com,523,house,72,71,91335
bacuff@groovestreet.com,1284,house,72,64,71935
bagramonte@zumgoity.com,1920,house,70,70,21903
bahle@golddex.com,2821,house,72,74,78623
bahle@stanredtax.com,1628,house,71,71,1526
balbares@hatfan.com,1006,townhome,72,75,54449
bangalich@xx-zobam.com,1598,house,,71,99677
barias@silis.com,1025,condominium,73,76,68868
basar@fasehatice.com,2148,townhome,74,,45211
bbachman@y-corporation.com,744,apartment,75,71,8825
bbayless@konex.com,828,apartment,71,72,48106
bbeech@scottech.com,1285,apartment,75,69,46012
bbenimadho@dalttechnology.com,1414,condominium,,75,76449
bbenimadho@funholding.com,1214,apartment,71,69,95527
bberganza@streethex.com,499,mobile home,68,73,85712
bbergesen@groovestreet.com,1009,condominium,73,69,76707
bbevelacqua@hottechi.com,566,apartment,73,64,94619
bbilden@domzoom.com,561,house,73,71,39359
bbirkner@warephase.com,78,apartment,71,,23607
bblackwood@isdom.com,621,house,,78,92316
bblackwood@rangreen.com,3254,apartment,,71,7839
bboulter@dalttechnology.com,748,apartment,71,76,47729
bbowley@hatfan.com,1178,apartment,71,68,64058
bbreland@plusstrip.com,2146,house,,66,54610
bbreland@zathunicon.com,722,house,74,69,57745
bbrossart@konex.com,1877,townhome,,73,32187
bbrossart@toughzap.com,137,apartment,74,76,87010
bbruschke@cancity.com,971,house,74,,26618
bbubash@cancity.com,998,apartment,72,67,44050
bbutt@bioholding.com,581,mobile home,73,,37148
bcalvaresi@codehow.com,625,townhome,71,66,74046
bcampain@gogozoom.com,690,house,,76,60151
bcanlas@donware.com,1909,townhome,71,74,60014
bcanlas@green-plus.com,293,condominium,,73,71202
bcantres@donware.com,2775,house,72,67,98859
bcentini@hottechi.com,3104,house,75,76,2295
bcetta@singletechno.com,1218,apartment,72,72,66830
bchaffins@hottechi.com,511,apartment,73,,54407
bchavous@kinnamplus.com,766,apartment,,77,49036
bchavous@statholdings.com,1173,apartment,73,71,31759
bchickering@scotfind.com,802,house,74,74,77290
bcloney@groovestreet.com,656,apartment,71,73,78658
bcolla@golddex.com,1220,house,,75,56252
bcolla@mathtouch.com,2317,house,69,,35463
bcorbley@singletechno.com,1323,townhome,75,73,28123
bcorrio@sunnamplex.com,1606,apartment,73,77,33233
bcousey@nam-zim.com,1853,apartment,,,34691
bcousey@statholdings.com,2122,house,74,,37111
bcousey@treequote.com,1060,apartment,73,76,40037
bcoyier@labdrill.com,1168,apartment,70,75,2668
bdaufeldt@lexiqvolax.com,1705,townhome,,74,47346
bdelasancha@warephase.com,1356,apartment,72,73,18462
bdeleo@scotfind.com,201,townhome,73,,45620
bdevreese@streethex.com,696,townhome,73,67,24448
bdewar@fasehatice.com,976,apartment,74,70,49279
bdhamer@mathtouch.com,1136,house,75,73,77483
bdorshorst@plusstrip.com,888,apartment,74,65,10106
bdubaldi@lexiqvolax.com,440,apartment,74,70,48519
bdubaldi@newex.com,3853,apartment,72,68,97448
beanes@dontechi.com,660,house,70,73,4863
beanes@j-texon.com,279,mobile home,69,74,68823
beanes@y-corporation.com,654,house,,,82428
bemigh@bioholding.com,362,apartment,69,73,38195
bennaco@dalttechnology.com,532,condominium,76,71,48862
beschberger@stanredtax.com,1286,apartment,72,71,85940
bestell@condax.com,421,apartment,71,77,1037
bfallick@funholding.com,1031,apartment,73,74,58068
bfallick@rangreen.com,46,mobile home,,73,3047
bfarrar@lexiqvolax.com,522,apartment,70,67,49812
bfarrow@gogozoom.com,1103,apartment,,77,71742
bfeichtner@goodsilron.com,762,house,,66,29666
bfelger@silis.com,1231,house,75,68,97490
bfelger@year-job.com,838,apartment,68,66,10527
bferencz@isdom.com,1563,house,76,67,77598
bfern@dalttechnology.com,1031,townhome,,72,56116
bfishburne@donware.com,967,house,,72,32725
bfortino@green-plus.com,1932,house,72,,3838
bfrancescon@finhigh.com,630,house,73,76,45663
bfrancescon@toughzap.com,1477,townhome,68,72,47390
bfrancescon@yearin.com,1738,house,73,65,45389
bfrankel@sunnamplex.com,3063,condominium,74,66,92191
bfrankel@zencorporation.com,894,apartment,72,76,39045
bgiguere@bioholding.com,1121,apartment,,77,91769
bgiguere@zencorporation.com,937,house,,72,76049
bgillaspie@dambase.com,1070,apartment,,69,11942
bglick@kinnamplus.com,1520,house,75,66,21503
bgochal@scotfind.com,4433,apartment,74,69,93423
bgochal@year-job.com,315,mobile home,73,,27349
bgood@green-plus.com,1086,house,73,76,87750
bgreenbush@cancity.com,791,apartment,72,65,68743
bhagele@funholding.com,665,condominium,72,68,38041
bhagele@opentech.com,232,house,70,72,74727
bhagele@plexzap.com,827,house,73,75,59460
bhalter@rangreen.com,1379,townhome,,,71933
bhalter@rundofase.com,584,apartment,,,16335
bharabedian@donquadtech.com,2248,house,74,72,46063
bheimann@zencorporation.com,1132,townhome,73,76,43510
bhengel@mathtouch.com,803,townhome,,66,99829
bhiatt@ganjaflex.com,915,apartment,72,73,52215
bhirpara@openlane.com,703,condominium,73,76,37857
bhoneywell@gogozoom.com,2124,condominium,70,66,43158
bhoogland@finjob.com,1383,apartment,72,73,7040
bhoogland@lexiqvolax.com,452,condominium,73,74,99036
bhoogland@plussunin.com,706,condominium,,73,67954
bhudnall@zoomit.com,1448,house,,71,73092
bjuhas@hottechi.com,968,house,,76,92410
bjulia@bioplex.com,289,mobile home,71,76,98004
bjuvera@cancity.com,509,apartment,70,72,60679
bkalafatis@kinnamplus.com,698,apartment,,,1546
bkampa@betatech.com,1085,apartment,71,72,26332
bkampa@labdrill.com,407,mobile home,72,67,30215
bkannady@yearin.com,199,mobile home,72,73,32898
bkeener@donware.com,788,apartment,73,67,44270
bkeener@groovestreet.com,981,house,,74,10987
bkeener@j-texon.com,1465,apartment,73,69,70076
bkiel@betatech.com,139,house,74,74,77423
bkiel@stanredtax.com,692,apartment,70,69,70740
bkippley@cancity.com,2653,house,74,67,57189
bkippley@codehow.com,407,apartment,69,75,17730
bkippley@groovestreet.com,993,apartment,74,70,59420
bkippley@labdrill.com,691,condominium,72,71,66776
bklonowski@nam-zim.com,731,house,,72,66054
bknipp@sumace.com,457,apartment,72,73,53570
bkohl@yearin.com,1463,house,,,68304
bkoppinger@rangreen.com,1765,apartment,,,74369
bkownacki@zencorporation.com,1122,house,75,69,82703
blacovara@zathunicon.com,554,condominium,69,74,83642
blary@year-job.com,230,mobile home,73,77,93483
blawler@plusstrip.com,529,condominium,75,66,75790
bleinenbach@dontechi.com,555,apartment,73,67,55349
blinahan@mathtouch.com,429,mobile home,71,,75141
blipke@donware.com,1743,house,75,69,21203
blipke@rundofase.com,2397,townhome,74,68,65530
blipkin@donware.com,1868,house,,76,52765
blizama@zathunicon.com,859,apartment,74,67,65486
blother@j-texon.com,1455,house,73,75,45003
blouissant@blackzim.com,777,house,68,74,27927
blouissant@j-texon.com,507,apartment,74,70,17026
bluczki@domzoom.com,1310,house,72,76,88044
blueckenbach@finhigh.com,2612,house,73,71,80035
blueckenbach@treequote.com,984,apartment,74,75,91108
blungren@zotware.com,1318,house,,68,18601
bmaclead@streethex.com,2679,house,73,76,50551
bmadarang@isdom.com,1323,house,74,76,55073
bmadarang@konmatfix.com,1205,apartment,75,75,58324
bmallett@konmatfix.com,137,condominium,,67,52568
bmanno@domzoom.com,258,house,,72,56715
bmartabano@fasehatice.com,680,apartment,73,,47236
bmastella@kan-code.com,354,mobile home,74,69,60567
bmaynerich@faxquote.com,668,apartment,73,76,97523
bmclaird@hatfan.com,1285,apartment,73,,45682
bmcnease@cancity.com,2194,condominium,74,73,79097
bmcnease@silis.com,679,house,,70,56369
bmcnease@singletechno.com,85,apartment,,74,43356
bmeteer@dalttechnology.com,223,house,70,71,49077
bmirafuentes@plexzap.com,849,apartment,70,73,66901
bmontezuma@donware.com,33,mobile home,71,75,83874
bmulqueen@dalttechnology.com,2100,house,72,69,40622
bmunns@newex.com,1554,townhome,,76,7630
bmyricks@green-plus.com,995,condominium,,73,38055
bnestle@xx-holding.com,428,apartment,,74,29936
bnievas@iselectrics.com,1179,townhome,72,72,68301
bnievas@ontomedia.com,2266,condominium,73,73,45211
bostrosky@codehow.com,2313,house,,74,74630
bpadilla@zathunicon.com,1118,townhome,,71,66538
bpagliuca@bioplex.com,1207,house,74,76,6108
bparlato@streethex.com,681,house,75,73,5905
bpedrozo@kan-code.com,1086,townhome,72,65,93502
bplumer@labdrill.com,679,apartment,,65,15237
bpoullion@bioholding.com,1238,house,74,72,29622
bpugh@opentech.com,1694,condominium,,73,65785
bregusters@domzoom.com,717,apartment,76,70,60691
brentfro@green-plus.com,218,mobile home,73,72,4982
brhymes@funholding.com,905,apartment,71,75,11217
briden@opentech.com,501,house,73,69,41037
brim@groovestreet.com,787,townhome,71,71,65565
briopelle@donquadtech.com,2443,condominium,71,69,17851
bruta@faxquote.com,666,condominium,73,74,83111
bryser@zotware.com,803,apartment,,66,58645
bsamara@konmatfix.com,1403,house,,72,79943
bsaras@golddex.com,1688,apartment,74,,18453
bsarbacher@mathtouch.com,192,mobile home,70,72,28092
bsarbacher@newex.com,1463,townhome,74,70,97039
bsayaphon@funholding.com,52,condominium,75,73,69334
