Email,Power_order_num,Generation_type,Battery_storage,Avg_kwh
aworlds@ganjaflex.com,1,wind,30,105
azane@zencorporation.com,1,solar-electric,,66
bacuff@groovestreet.com,1,solar-electric,,119
bagramonte@zumgoity.com,1,wind,12,96
balbares@hatfan.com,1,wind,41,76
bangalich@xx-zobam.com,1,solar-electric,90,79
basar@fasehatice.com,1,solar-electric,52,32
bbachman@y-corporation.com,1,wind,28,21
bbayless@konex.com,1,solar-electric,,120
bbenimadho@funholding.com,1,wind,27,143
bbergesen@groovestreet.com,1,solar-electric,,132
bbevelacqua@hottechi.com,1,solar-electric,35,59
bblackwood@isdom.com,1,solar-electric,85,189
bblackwood@rangreen.com,1,solar-electric,37,87
bbowley@hatfan.com,1,solar-electric,22,30
bbowley@hatfan.com,2,solar-electric,15,81
bbrossart@toughzap.com,1,solar-electric,31,49
bbruschke@cancity.com,1,solar-electric,34,19
bbubash@cancity.com,1,solar-electric,,89
bcalvaresi@codehow.com,1,solar-electric,12,64
bcanlas@donware.com,1,solar-electric,22,83
bcanlas@green-plus.com,1,solar-electric,23,273
bcantres@donware.com,1,solar-electric,25,46
bcantres@donware.com,2,solar-electric,,23
bcentini@hottechi.com,1,solar-electric,,18
bchavous@kinnamplus.com,1,solar-electric,,32
bchavous@statholdings.com,1,solar-electric,,21
bcloney@groovestreet.com,1,solar-electric,14,51
bcolla@mathtouch.com,1,solar-electric,43,45
bcousey@nam-zim.com,1,solar-electric,12,29
bcoyier@labdrill.com,1,solar-electric,,76
bdaufeldt@lexiqvolax.com,1,solar-electric,58,171
bdelasancha@warephase.com,1,solar-electric,30,23
bdeleo@scotfind.com,1,solar-electric,112,175
bdubaldi@newex.com,1,solar-electric,,102
beanes@dontechi.com,1,wind,,65
beanes@y-corporation.com,1,solar-electric,,84
bestell@condax.com,1,wind,39,78
bfarrow@gogozoom.com,1,wind,10,56
bfeichtner@goodsilron.com,1,solar-electric,,16
bfelger@year-job.com,1,solar-electric,,109
bfrancescon@finhigh.com,1,solar-electric,38,40
bfrancescon@toughzap.com,1,solar-electric,,225
bfrancescon@yearin.com,1,solar-electric,,94
bfrankel@sunnamplex.com,1,solar-electric,46,17
bfrankel@zencorporation.com,1,solar-electric,87,29
bgiguere@zencorporation.com,1,solar-electric,43,106
bgiguere@zencorporation.com,2,wind,27,84
bglick@kinnamplus.com,1,solar-electric,18,53
bgochal@scotfind.com,1,solar-electric,,107
bgochal@year-job.com,1,solar-electric,20,45
bgood@green-plus.com,1,solar-electric,15,82
bgreenbush@cancity.com,1,solar-electric,29,159
bhagele@funholding.com,1,solar-electric,,135
bhagele@opentech.com,1,solar-electric,52,17
bhagele@plexzap.com,1,solar-electric,,49
bhalter@rangreen.com,1,solar-electric,116,65
bhiatt@ganjaflex.com,1,wind,120,56
bhoneywell@gogozoom.com,1,solar-electric,,39
bhoneywell@gogozoom.com,2,solar-electric,17,105
bhoneywell@gogozoom.com,3,solar-electric,,110
bhoogland@plussunin.com,1,wind,43,143
bjulia@bioplex.com,1,wind,25,91
bkalafatis@kinnamplus.com,1,solar-electric,28,20
bkampa@betatech.com,1,solar-electric,16,60
bkampa@betatech.com,2,solar-electric,21,17
bkeener@donware.com,1,solar-electric,44,42
bkeener@donware.com,2,solar-electric,35,51
bkiel@betatech.com,1,solar-electric,,16
bkiel@stanredtax.com,1,solar-electric,16,65
bkippley@cancity.com,1,wind,,84
bkippley@cancity.com,2,solar-electric,34,87
bkippley@cancity.com,3,wind,13,69
bkippley@cancity.com,4,solar-electric,21,55
bkippley@codehow.com,1,solar-electric,14,102
blary@year-job.com,1,solar-electric,10,59
blary@year-job.com,2,wind,21,24
blinahan@mathtouch.com,1,solar-electric,12,36
blipke@rundofase.com,1,solar-electric,30,64
blipkin@donware.com,1,solar-electric,31,119
blipkin@donware.com,2,solar-electric,13,18
blizama@zathunicon.com,1,solar-electric,23,79
blizama@zathunicon.com,2,solar-electric,,48
bmaclead@streethex.com,1,solar-electric,14,69
bmallett@konmatfix.com,1,solar-electric,17,23
bmanno@domzoom.com,1,solar-electric,33,43
bmcnease@cancity.com,1,solar-electric,44,78
bmcnease@cancity.com,2,solar-electric,15,121
bmcnease@silis.com,1,solar-electric,16,85
bmeteer@dalttechnology.com,1,wind,,99
bmontezuma@donware.com,1,solar-electric,,62
bmulqueen@dalttechnology.com,1,solar-electric,26,57
bmunns@newex.com,1,solar-electric,,103
bmunns@newex.com,2,wind,18,88
bmyricks@green-plus.com,1,solar-electric,31,120
bnestle@xx-holding.com,1,wind,16,69
bnievas@ontomedia.com,1,solar-electric,11,19
bnievas@ontomedia.com,2,solar-electric,23,94
bpadilla@zathunicon.com,1,solar-electric,,22
bpedrozo@kan-code.com,1,solar-electric,67,50
bplumer@labdrill.com,1,solar-electric,47,60
brentfro@green-plus.com,1,solar-electric,19,55
brhymes@funholding.com,1,wind,,40
briden@opentech.com,1,solar-electric,44,96
brim@groovestreet.com,1,solar-electric,,53
briopelle@donquadtech.com,1,solar-electric,19,95
bruta@faxquote.com,1,solar-electric,10,133
bryser@zotware.com,1,solar-electric,14,138
bsamara@konmatfix.com,1,solar-electric,13,92
bsarbacher@mathtouch.com,1,solar-electric,28,74
bschirpke@donquadtech.com,1,solar-electric,43,45
bschirpke@goodsilron.com,1,solar-electric,41,120
bscipione@donquadtech.com,1,solar-electric,,24
bsergi@dontechi.com,1,solar-electric,28,135
bshields@yearin.com,1,solar-electric,23,159
bshire@sonron.com,1,solar-electric,103,91
bsilvestrini@cancity.com,1,solar-electric,,115
bsimilton@opentech.com,1,solar-electric,19,19
bskulski@kinnamplus.com,1,solar-electric,27,77
bskulski@kinnamplus.com,2,solar-electric,11,74
bskulski@kinnamplus.com,3,solar-electric,14,21
bslusarski@donquadtech.com,1,solar-electric,30,28
bspickerman@domzoom.com,1,solar-electric,54,70
bspringe@funholding.com,1,solar-electric,,20
bsteffensmeier@y-corporation.com,1,solar-electric,11,240
bsteier@fasehatice.com,1,wind,,21
bsteier@fasehatice.com,2,solar-electric,,101
bstoltzman@green-plus.com,1,solar-electric,,57
bstoltzman@plusstrip.com,1,wind,35,29
bsuell@inity.com,1,solar-electric,,86
bsuffield@finjob.com,1,solar-electric,,19
bsyrop@domzoom.com,1,wind,56,142
btheodorov@opentech.com,1,solar-electric,38,120
bthyberg@labdrill.com,1,solar-electric,13,71
btollner@streethex.com,1,solar-electric,24,15
btomasulo@green-plus.com,1,wind,127,43
btromblay@funholding.com,1,solar-electric,44,118
bupthegrove@blackzim.com,1,solar-electric,28,42
bvenere@labdrill.com,1,solar-electric,32,94
bvinning@hottechi.com,1,solar-electric,88,23
bweirather@donquadtech.com,1,wind,18,68
bweirather@ganjaflex.com,1,wind,,15
bwide@lexiqvolax.com,1,solar-electric,,59
bwieser@nam-zim.com,1,solar-electric,,20
bwildfong@xx-zobam.com,1,solar-electric,21,22
bwolny@hottechi.com,1,solar-electric,,58
cabdallah@dambase.com,1,solar-electric,20,88
cacuff@codehow.com,1,wind,12,26
cahle@newex.com,1,solar-electric,,50
cahle@newex.com,2,solar-electric,38,44
cahle@ontomedia.com,1,solar-electric,12,126
calbares@rantouch.com,1,solar-electric,51,18
calbares@zencorporation.com,1,solar-electric,,48
camigon@plexzap.com,1,solar-electric,17,24
camyot@finhigh.com,1,solar-electric,,16
cangalich@codehow.com,1,solar-electric,27,158
cangalich@xx-zobam.com,1,solar-electric,23,23
carceo@codehow.com,1,solar-electric,,63
cauber@groovestreet.com,1,solar-electric,18,23
cbarfield@iselectrics.com,1,wind,10,18
cbatman@green-plus.com,1,solar-electric,32,37
cbatman@green-plus.com,2,solar-electric,40,23
cbayless@silis.com,1,solar-electric,14,58
cbennick@toughzap.com,1,solar-electric,17,32
cberganza@zathunicon.com,1,solar-electric,15,109
cberganza@zathunicon.com,2,solar-electric,14,46
cbergesen@ron-tech.com,1,solar-electric,,144
cberray@openlane.com,1,solar-electric,,23
cbevelacqua@plusstrip.com,1,solar-electric,57,51
cbiddy@j-texon.com,1,solar-electric,,85
cbirkner@hottechi.com,1,solar-electric,11,77
cblackwood@ontomedia.com,1,solar-electric,30,42
cbrossart@nam-zim.com,1,solar-electric,31,77
cbruschke@doncon.com,1,solar-electric,34,61
cbuemi@streethex.com,1,solar-electric,,187
cburnard@year-job.com,1,wind,46,186
cbutzen@faxquote.com,1,solar-electric,18,65
cbuvens@sumace.com,1,wind,,22
cbuzick@fasehatice.com,1,solar-electric,24,103
ccaiafa@iselectrics.com,1,solar-electric,79,52
ccaldarera@dalttechnology.com,1,solar-electric,10,37
ccampain@sonron.com,1,wind,,56
ccampain@zumgoity.com,1,wind,,117
ccandlish@nam-zim.com,1,wind,51,32
ccastros@ron-tech.com,1,solar-electric,43,148
ccaudy@goodsilron.com,1,solar-electric,,38
ccetta@rundofase.com,1,solar-electric,41,18
cchickering@rantouch.com,1,solar-electric,32,70
cchui@donware.com,1,solar-electric,40,44
cclaucherty@singletechno.com,1,solar-electric,37,72
ccorrio@zathunicon.com,1,solar-electric,16,29
ccoyier@lexiqvolax.com,1,solar-electric,,141
ccrupi@golddex.com,1,solar-electric,15,59
ccryer@betasoloin.com,1,wind,52,154
cdallen@singletechno.com,1,solar-electric,16,24
cdaufeldt@scotfind.com,1,wind,34,43
cdegroot@faxquote.com,1,solar-electric,,133
cdegroot@newex.com,1,solar-electric,15,19
cdelasancha@streethex.com,1,solar-electric,49,98
cdevreese@streethex.com,1,solar-electric,,72
cdevreese@streethex.com,2,solar-electric,16,91
cdickerson@labdrill.com,1,wind,49,120
cdinos@donquadtech.com,1,solar-electric,,153
cdinos@faxquote.com,1,solar-electric,18,72
cdopico@isdom.com,1,wind,40,76
cehmann@opentech.com,1,solar-electric,18,20
cehmann@opentech.com,2,solar-electric,,47
cemigh@dalttechnology.com,1,solar-electric,51,116
cengelberg@hottechi.com,1,solar-electric,13,20
ceschberger@zumgoity.com,1,solar-electric,,37
cferrario@finhigh.com,1,solar-electric,,176
cfishburne@betasoloin.com,1,solar-electric,26,71
cflosi@stanredtax.com,1,solar-electric,,31
cfortino@mathtouch.com,1,solar-electric,49,112
cfrankel@stanredtax.com,1,solar-electric,,65
cfrey@ron-tech.com,1,solar-electric,121,70
cfrey@zoomit.com,1,solar-electric,,21
cgehrett@betasoloin.com,1,wind,24,132
cgehrett@fasehatice.com,1,solar-electric,24,94
cgehrett@fasehatice.com,2,solar-electric,18,94
cgellinger@stanredtax.com,1,solar-electric,,18
cgellinger@treequote.com,1,solar-electric,,103
cgellinger@zotware.com,1,solar-electric,33,52
cgillian@opentech.com,1,wind,,48
cglick@scotfind.com,1,solar-electric,14,91
cgochal@sonron.com,1,solar-electric,15,23
cgochal@sunnamplex.com,1,solar-electric,22,118
cgotter@blackzim.com,1,solar-electric,,35
cgreenbush@blackzim.com,1,solar-electric,,82
cgudroe@plexzap.com,1,solar-electric,,20
cgwalthney@isdom.com,1,solar-electric,14,72
chalsey@dambase.com,1,solar-electric,19,64
charnos@blackzim.com,1,solar-electric,,82
cheimann@silis.com,1,solar-electric,36,56
cheintzman@conecom.com,1,wind,46,70
cheintzman@zumgoity.com,1,solar-electric,26,41
cherritt@toughzap.com,1,solar-electric,,104
chiatt@blackzim.com,1,solar-electric,40,74
chiatt@y-corporation.com,1,wind,,21
chixenbaugh@dalttechnology.com,1,solar-electric,28,88
choffis@opentech.com,1,wind,43,47
choneywell@dalttechnology.com,1,solar-electric,,47
choneywell@dalttechnology.com,2,solar-electric,,139
choneywell@ganjaflex.com,1,solar-electric,21,104
choogland@bioplex.com,1,solar-electric,139,293
choogland@isdom.com,1,solar-electric,52,60
choogland@isdom.com,2,solar-electric,41,89
chusser@bioholding.com,1,wind,51,39
chusser@dambase.com,1,solar-electric,,16
cisenhower@zoomit.com,1,solar-electric,42,125
citurbide@ontomedia.com,1,solar-electric,62,68
cjayson@statholdings.com,1,solar-electric,39,86
cjuvera@donware.com,1,solar-electric,21,46
ckarpel@singletechno.com,1,solar-electric,25,58
ckeneipp@sonron.com,1,solar-electric,43,66
ckeneipp@zencorporation.com,1,solar-electric,,68
ckiel@betatech.com,1,solar-electric,36,84
ckiel@betatech.com,2,solar-electric,26,38
ckiel@betatech.com,3,solar-electric,,36
ckiel@toughzap.com,1,wind,32,116
ckines@openlane.com,1,solar-electric,47,105
ckippley@sonron.com,1,wind,23,85
cklusman@opentech.com,1,solar-electric,13,54
cknipp@groovestreet.com,1,wind,,15
cknipp@hottechi.com,1,solar-electric,65,107
ckonopacki@lexiqvolax.com,1,solar-electric,,64
ckownacki@doncon.com,1,solar-electric,29,75
clapage@toughzap.com,1,solar-electric,22,23
clawler@cancity.com,1,solar-electric,,69
clawler@faxquote.com,1,solar-electric,93,44
cleinenbach@plussunin.com,1,solar-electric,34,82
clietz@nam-zim.com,1,wind,,155
clinahan@openlane.com,1,solar-electric,24,49
cliukko@inity.com,1,solar-electric,,79
cloder@kan-code.com,1,solar-electric,10,23
clother@treequote.com,1,solar-electric,26,83
clueckenbach@year-job.com,1,solar-electric,,81
cmadarang@rundofase.com,1,solar-electric,16,116
cmadarang@rundofase.com,2,solar-electric,30,82
cmai@golddex.com,1,solar-electric,23,31
cmaillard@green-plus.com,1,solar-electric,43,104
cmalet@zathunicon.com,1,solar-electric,,105
cmallett@codehow.com,1,wind,23,19
cmallett@j-texon.com,1,solar-electric,13,173
cmallett@j-texon.com,2,solar-electric,37,78
cmalvin@condax.com,1,solar-electric,55,83
cmarrier@year-job.com,1,solar-electric,15,15
cmartabano@zencorporation.com,1,solar-electric,22,89
cmatuszak@silis.com,1,solar-electric,,120
cmatuszak@xx-holding.com,1,solar-electric,32,44
cmclaird@inity.com,1,solar-electric,27,23
cmeisel@conecom.com,1,wind,,56
cmeteer@mathtouch.com,1,solar-electric,,45
cmiceli@conecom.com,1,solar-electric,10,15
cmiceli@conecom.com,2,solar-electric,17,72
cmondella@warephase.com,1,solar-electric,39,127
cmoyd@toughzap.com,1,solar-electric,16,177
cmulqueen@iselectrics.com,1,solar-electric,67,141
cmulqueen@iselectrics.com,2,solar-electric,,52
coldroyd@rangreen.com,1,solar-electric,101,71
conofrio@toughzap.com,1,solar-electric,19,16
costrosky@isdom.com,1,solar-electric,10,150
cpalaspas@finhigh.com,1,solar-electric,,133
cpalaspas@finhigh.com,2,solar-electric,,74
cpalaspas@y-corporation.com,1,solar-electric,25,65
cpaskin@fasehatice.com,1,wind,15,76
cpaulas@nam-zim.com,1,solar-electric,,119
cperruzza@newex.com,1,solar-electric,20,49
cpinilla@fasehatice.com,1,solar-electric,,105
cplumer@fasehatice.com,1,solar-electric,,92
cpontoriero@groovestreet.com,1,solar-electric,13,50
cpoullion@mathtouch.com,1,solar-electric,119,89
cradde@iselectrics.com,1,solar-electric,10,22
cragel@dambase.com,1,solar-electric,27,15
craymo@yearin.com,1,solar-electric,19,100
cregusters@ontomedia.com,1,wind,,52
cregusters@ontomedia.com,2,solar-electric,,126
creiber@sumace.com,1,solar-electric,22,22
creiber@xx-holding.com,1,solar-electric,29,97
creiber@xx-holding.com,2,solar-electric,22,65
crhoden@cancity.com,1,solar-electric,,62
crhoden@funholding.com,1,solar-electric,78,77
criden@streethex.com,1,solar-electric,,39
crodenberger@bioholding.com,1,wind,,53
crowling@year-job.com,1,solar-electric,25,22
cryser@stanredtax.com,1,solar-electric,,88
cryser@zathunicon.com,1,solar-electric,94,158
csama@green-plus.com,1,solar-electric,18,32
csamara@doncon.com,1,wind,29,53
csamu@isdom.com,1,solar-electric,12,17
csarao@plexzap.com,1,solar-electric,17,47
csarao@plexzap.com,2,solar-electric,22,104
csarbacher@bioholding.com,1,solar-electric,10,78
csawchuk@konex.com,1,solar-electric,,79
csaylors@dambase.com,1,solar-electric,,105
cscheyer@betasoloin.com,1,solar-electric,14,70
cschnitzler@rangreen.com,1,solar-electric,40,49
cschnitzler@rangreen.com,2,solar-electric,26,40
cscipione@gogozoom.com,1,solar-electric,,127
cscriven@iselectrics.com,1,solar-electric,43,22
cscriven@iselectrics.com,2,solar-electric,50,98
cscriven@scottech.com,1,solar-electric,89,149
csemidey@green-plus.com,1,solar-electric,,162
csemidey@green-plus.com,2,solar-electric,,59
cshinko@dontechi.com,1,solar-electric,51,20
csilvestrini@donquadtech.com,1,wind,,24
csilvestrini@konex.com,1,wind,82,17
csimilton@donware.com,1,solar-electric,,73
csmith@bioholding.com,1,wind,12,156
csmith@bioholding.com,2,wind,35,77
cspickerman@condax.com,1,wind,39,79
cstaback@gogozoom.com,1,solar-electric,26,22
cstaback@gogozoom.com,2,solar-electric,,19
cstockham@green-plus.com,1,solar-electric,64,187
cstoltzman@konex.com,1,solar-electric,,89
cstorment@green-plus.com,1,solar-electric,,24
cstorment@green-plus.com,2,solar-electric,,70
cstorment@inity.com,1,solar-electric,40,96
cswayze@lexiqvolax.com,1,solar-electric,42,52
csweigard@xx-holding.com,1,solar-electric,35,148
csyrop@goodsilron.com,1,wind,,115
ctagala@zoomit.com,1,solar-electric,23,73
ctjepkema@condax.com,1,solar-electric,,70
ctjepkema@isdom.com,1,solar-electric,10,68
ctjepkema@streethex.com,1,solar-electric,12,49
ctomblin@dambase.com,1,solar-electric,14,109
ctoyama@treequote.com,1,solar-electric,36,16
ctreston@cancity.com,1,solar-electric,78,121
ctromblay@donware.com,1,solar-electric,11,91
cturinetti@donquadtech.com,1,solar-electric,,40
cuyetake@hottechi.com,1,solar-electric,,23
cvanausdal@domzoom.com,1,solar-electric,,53
cvarriano@donquadtech.com,1,solar-electric,,21
cventura@dontechi.com,1,solar-electric,,103
cvonasek@kan-code.com,1,solar-electric,24,19
cwalthall@ontomedia.com,1,solar-electric,,127
cwaymire@conecom.com,1,solar-electric,,16
cweglarz@konex.com,1,solar-electric,51,90
cwesterbeck@silis.com,1,wind,,116
cwolfgramm@groovestreet.com,1,wind,,79
cwolny@conecom.com,1,solar-electric,26,100
cwolny@conecom.com,2,solar-electric,13,69
cyaw@conecom.com,1,solar-electric,10,23
cyaw@xx-holding.com,1,solar-electric,70,131
czepp@betatech.com,1,solar-electric,40,88
czepp@y-corporation.com,1,solar-electric,16,32
dabdallah@bioplex.com,1,solar-electric,,32
